商品,價格,網址
日檢單字+文法一本搞定N2(+MP3),$288,https://shopee.tw//日檢單字-文法一本搞定N2(-MP3)-i.20570968.2418089827
"(山田社)精裝本 重音版 新日檢 絕對合格 N1,N2,N3,N4,N5單字大全（25K＋2MP3）",$431,https://shopee.tw//(山田社)精裝本-重音版-新日檢-絕對合格-N1-N2-N3-N4-N5單字大全（25K＋2MP3）-i.163145167.6236306473
精修版 新制對應 絕對合格！日檢必背單字N2（25K＋MP3）  大家學標準日本語DVD,$100 ~ $170,https://shopee.tw//精修版-新制對應-絕對合格！日檢必背單字N2（25K＋MP3）-大家學標準日本語DVD-i.22460971.434451516
絕對合格 N2日檢必背單字,$250,https://shopee.tw//絕對合格-N2日檢必背單字-i.1733070.286618578
✨新日檢N2單字、文法、詞彙書,$300,https://shopee.tw//✨新日檢N2單字、文法、詞彙書-i.3120326.31199388
"《新日檢JLPT N1+ N2 關鍵單字2,500》",$584,https://shopee.tw//《新日檢JLPT-N1-N2-關鍵單字2-500》-i.1444056.2113862255
"新制日檢!絕對合格N1,N2單字全真模考三回+詳解 + 新制日檢!絕對合格N3,N4,N5單字全真模考三回+詳解",$244 ~ $467,https://shopee.tw//新制日檢!絕對合格N1-N2單字全真模考三回-詳解-新制日檢!絕對合格N3-N4-N5單字全真模考三回-詳解-i.163113630.3501425212
"新日檢JLPT N2 關鍵540題+關鍵單字2,500",$583,https://shopee.tw//新日檢JLPT-N2-關鍵540題-關鍵單字2-500-i.121090005.2088075154
日檢單字+文法一本搞定N2(+MP3)[75折]11100888530,$224,https://shopee.tw//日檢單字-文法一本搞定N2(-MP3)-75折-11100888530-i.159834670.7218429171
"<建宏>新制日檢！絕對合格N1,N2單字全真模考三回＋詳解201808月/山田社/9789862465073",$292,https://shopee.tw//-建宏-新制日檢！絕對合格N1-N2單字全真模考三回＋詳解201808月-山田社-9789862465073-i.39144451.1591501241
"精修重音版 新制日檢！絕對合格N1,N2,N3,N4,N5必背單字大全（25K+MP3）",$448,https://shopee.tw//精修重音版-新制日檢！絕對合格N1-N2-N3-N4-N5必背單字大全（25K-MP3）-i.133999892.2682771904
日檢單字+文法一本搞定N2(附1MP3),$224,https://shopee.tw//日檢單字-文法一本搞定N2(附1MP3)-i.17676261.1522016594
9789862464663【大師圖書山田社-】精修版新制日檢！絕對合格N1、N2、N3、N4、N5必背單字大全（25K＋,$473,https://shopee.tw//9789862464663【大師圖書山田社-】精修版新制日檢！絕對合格N1、N2、N3、N4、N5必背單字大全（25K＋-i.59926168.2622475020
日檢單字+文法一本搞定N2,$240,https://shopee.tw//日檢單字-文法一本搞定N2-i.43157388.1438102108
"《山田社》新制日檢！絕對合格N1,N2單字全真模考三回＋詳解[9折]",$332,https://shopee.tw//《山田社》新制日檢！絕對合格N1-N2單字全真模考三回＋詳解-9折--i.42458033.6647803393
絕對合格！新制日檢 必勝N2情境分類單字 (25K+MP3),$254,https://shopee.tw//絕對合格！新制日檢-必勝N2情境分類單字-(25K-MP3)-i.163145167.6201465498
新日檢考試有祕密：全方位N2單字+全真模擬試題(附1MP3),$336,https://shopee.tw//新日檢考試有祕密：全方位N2單字-全真模擬試題(附1MP3)-i.121090005.2085658432
日檢單字+文法一本搞定N2[75折]11100842965,$240,https://shopee.tw//日檢單字-文法一本搞定N2-75折-11100842965-i.159834670.7216572024
新日檢考試有祕密：全方位N2單字+全真模擬試題(附1MP3),$336,https://shopee.tw//新日檢考試有祕密：全方位N2單字-全真模擬試題(附1MP3)-i.163113630.3100490120
新制日檢！絕對合格 N2單字、文法、閱讀、聽力全真模考三回＋詳解（16Ｋ+MP3）,$279,https://shopee.tw//新制日檢！絕對合格-N2單字、文法、閱讀、聽力全真模考三回＋詳解（16Ｋ-MP3）-i.133999892.2682624797
"<書本熊>[我識]新日檢JLPT N2關鍵單字2,500：9789869737104",$299,https://shopee.tw//-書本熊-我識-新日檢JLPT-N2關鍵單字2-500：9789869737104-i.25236816.4732023204
