圖片,商品,價格1,價格2,網址
https://cf.shopee.tw/file/a46ac4b805d59be5551b31be6210bc6d_tn,"新日檢JLPT N2關鍵單字2,500(附1主考官一定會考的單字隨身冊+1CD+虛擬點讀筆APP)",280,280,https://shopee.tw//新日檢JLPT-N2關鍵單字2-500(附1主考官一定會考的單字隨身冊-1CD-虛擬點讀筆APP)-i.17676261.2071676263
https://cf.shopee.tw/file/e83a3bc2765a1296e90a336cce656336_tn,<書本熊2館>[山田社]絕對合格！新制日檢 必勝N2情境分類單字 (25K+MP3)：9789862465530,291,291,https://shopee.tw//-書本熊2館-山田社-絕對合格！新制日檢-必勝N2情境分類單字-(25K-MP3)：9789862465530-i.155768384.6410541056
https://cf.shopee.tw/file/69a84a584427b7482fb9ab498ecea167_tn,<讀好書>最新版日檢單字N5、N4、N3、N2、N1絕對合格一擊必殺！2018/03/9789578904026,390,390,https://shopee.tw//-讀好書-最新版日檢單字N5、N4、N3、N2、N1絕對合格一擊必殺！2018-03-9789578904026-i.23603259.1005428101
https://cf.shopee.tw/file/e6a84c5d447c21d61d0abd25de4cbd45_tn,<書本熊二館>[山田社]精修重音版 新制對應 絕對合格！日檢必背單字N2 (25K+MP3)：9789862465455,338,338,https://shopee.tw//-書本熊二館-山田社-精修重音版-新制對應-絕對合格！日檢必背單字N2-(25K-MP3)：9789862465455-i.155768384.6410541010
https://cf.shopee.tw/file/5f12d6e706d19d8f44b4d567794c38c4_tn,新日檢考試有祕密：全方位N2單字+全真模擬試題(附1MP3),296,296,https://shopee.tw//新日檢考試有祕密：全方位N2單字-全真模擬試題(附1MP3)-i.17676261.595243442
https://cf.shopee.tw/file/3b8584064ad60ac73e2bd98b6df1c962_tn,絕對合格！新制日檢 必勝N2情境分類單字 (25K+MP3),258,258,https://shopee.tw//絕對合格！新制日檢-必勝N2情境分類單字-(25K-MP3)-i.133999892.2666955771
https://cf.shopee.tw/file/781568efd5816742c3876f5e7e211350_tn,"<書本熊>[山田]新制日檢!絕對合格N1,N2單字全真模考三回+詳解（25K）：9789862465073",370,370,https://shopee.tw//-書本熊-山田-新制日檢!絕對合格N1-N2單字全真模考三回-詳解（25K）：9789862465073-i.25236816.3809367557
https://cf.shopee.tw/file/55f563236c63ae53cd4eea4e5594b2b8_tn,9789862463536﹝山田社-﹞（修訂版）新制日檢！絕對合格 N1、N2、N3、N4、N5單字大全（25K+MP3,315,315,https://shopee.tw//9789862463536﹝山田社-﹞（修訂版）新制日檢！絕對合格-N1、N2、N3、N4、N5單字大全（25K-MP3-i.59926168.1686159444
https://cf.shopee.tw/file/7a93a871fd8bd1f50168c1f105e7f174_tn,9789862462324﹝山田社-﹞袖珍本精修版新制對應絕對合格！日檢必背單字N2（50K+DVD）,236,236,https://shopee.tw//9789862462324﹝山田社-﹞袖珍本精修版新制對應絕對合格！日檢必背單字N2（50K-DVD）-i.59926168.1683593164
https://cf.shopee.tw/file/a8e673f9dd679cec7ed3f651f8c7d731_tn,<書本熊二館>[布可屋]合格快手新日檢必考單字速成N1 N2 N3 N4 N5（附MP3）：9789579579995,283,283,https://shopee.tw//-書本熊二館-布可屋-合格快手新日檢必考單字速成N1-N2-N3-N4-N5（附MP3）：9789579579995-i.155768384.3441137586
https://cf.shopee.tw/file/d651024d19f813a23518a101e0a34b10_tn,"精修重音版 新制日檢！絕對合格N1,N2,N3,N4,N5必背單字大全（25K+MP3）",460,460,https://shopee.tw//精修重音版-新制日檢！絕對合格N1-N2-N3-N4-N5必背單字大全（25K-MP3）-i.163113630.2608678619
https://cf.shopee.tw/file/8a4c30a3cf254da5c40cbec9998fc352_tn,"(山田社)新制日檢!絕對合格N1,N2單字全真模考三回+詳解（25K）",265,265,https://shopee.tw//(山田社)新制日檢!絕對合格N1-N2單字全真模考三回-詳解（25K）-i.163145167.3735768579
https://cf.shopee.tw/file/496c83f1bd8ea19bce71ba2b21c44a0b_tn,新制日檢！絕對合格 N2單字、文法、閱讀、聽力全真模考三回＋詳解（16Ｋ+MP3）,287,287,https://shopee.tw//新制日檢！絕對合格-N2單字、文法、閱讀、聽力全真模考三回＋詳解（16Ｋ-MP3）-i.163113630.2608640231
https://cf.shopee.tw/file/2c50ee4db21088bc8f3d7d6ca4a28b41_tn,10000單字，搞定新日檢：N1、N2、N3、N4、N5必考單字，高分合格[二手書_良好]1440,275,275,https://shopee.tw//10000單字，搞定新日檢：N1、N2、N3、N4、N5必考單字，高分合格-二手書_良好-1440-i.159834670.5740836776
https://cf.shopee.tw/file/72f1f7afbf8720fc225809c4c847f4f4_tn,9789862463543【大師圖書山田社-】精裝本（修訂本）新日檢絕對合格 N1、N2、N3、N4、N5單字大全（25,394,394,https://shopee.tw//9789862463543【大師圖書山田社-】精裝本（修訂本）新日檢絕對合格-N1、N2、N3、N4、N5單字大全（25-i.59926168.1064467204
https://cf.shopee.tw/file/6896b0462f324243a7f15b152e78b582_tn,9789862464670【大師圖書山田社-】精修版新制日檢！絕對合格N1、N2必背單字大全（25K＋MP3）,332,332,https://shopee.tw//9789862464670【大師圖書山田社-】精修版新制日檢！絕對合格N1、N2必背單字大全（25K＋MP3）-i.59926168.1062963425
https://cf.shopee.tw/file/475511ec23ef20f13c6bca468bbba880_tn,新日檢考試有祕密：全方位N2單字+全真模擬試題[二手書_良好]0299,222,222,https://shopee.tw//新日檢考試有祕密：全方位N2單字-全真模擬試題-二手書_良好-0299-i.159834670.4952770978
https://cf.shopee.tw/file/226c39b8f8f4c4208e65b45666556044_tn,精修重音版新制對應絕對合格！日檢必背單字N2（25K+MP3）[88折]11100879138,378,378,https://shopee.tw//精修重音版新制對應絕對合格！日檢必背單字N2（25K-MP3）-88折-11100879138-i.159834670.4513757436
https://cf.shopee.tw/file/9e2b327fcffa211e7fbf1da8c5c3d72f_tn,【優質】袖珍本　精修重音版新制對應絕對合格！日檢必背單字N2（50K＋DVD）,240,240,https://shopee.tw//【優質】袖珍本-精修重音版新制對應絕對合格！日檢必背單字N2（50K＋DVD）-i.4947210.5717826382
https://cf.shopee.tw/file/776965b2ad81fab4476383f640116dc1_tn,"<讀好書>新制日檢！絕對合格N1,N2單字全真模考三回＋詳解201808月/山田社/9789862465073",289,289,https://shopee.tw//-讀好書-新制日檢！絕對合格N1-N2單字全真模考三回＋詳解201808月-山田社-9789862465073-i.23603259.1473554709
https://cf.shopee.tw/file/ce5bf9433604df89a64c812edafbf7db_tn,最新版日檢單字N5、N4、N3、N2、N1絕對合格一擊必殺！,359,359,https://shopee.tw//最新版日檢單字N5、N4、N3、N2、N1絕對合格一擊必殺！-i.13135834.1005346558
https://cf.shopee.tw/file/5063a0208aae835d499aa7f60c9577e8_tn,精修重音版新制對應絕對合格日檢必背單字N2(25K+MP3),322,322,https://shopee.tw//精修重音版新制對應絕對合格日檢必背單字N2(25K-MP3)-i.20570968.2357777493
https://cf.shopee.tw/file/6a452c1a82d7138c1a0b883e20c865d3_tn,新日檢JLPT N2關鍵單字2500,284,284,https://shopee.tw//新日檢JLPT-N2關鍵單字2500-i.20570968.2357770484
https://cf.shopee.tw/file/eed4e588426791c4d473074b4bc21027_tn,日檢單字+文法一本搞定N2(+MP3),240,240,https://shopee.tw//日檢單字-文法一本搞定N2(-MP3)-i.121090005.1963965146
https://cf.shopee.tw/file/366e06af34b26af6dcfe700226b13a91_tn,"日檢N2套書：精修版 新制對應 絕對合格！日檢必背 [單字,文法,閱讀,聽力] N2熱銷套書（25K＋MP3）",230,916,https://shopee.tw//日檢N2套書：精修版-新制對應-絕對合格！日檢必背-單字-文法-閱讀-聽力-N2熱銷套書（25K＋MP3）-i.163113630.2790414672
https://cf.shopee.tw/file/47737af4841113c4d6e8757ed4d1374d_tn,精修重音版 新制對應 絕對合格！日檢必背單字N2 (25K+MP3),308,308,https://shopee.tw//精修重音版-新制對應-絕對合格！日檢必背單字N2-(25K-MP3)-i.163113630.2757675609
https://cf.shopee.tw/file/934e33beee113eb3982a876085762bc3_tn,新制日檢絕對合格N2單字文法閱讀聽力全真模考三回+詳解(16K+MP3),299,299,https://shopee.tw//新制日檢絕對合格N2單字文法閱讀聽力全真模考三回-詳解(16K-MP3)-i.20570968.2357523177
https://cf.shopee.tw/file/d651024d19f813a23518a101e0a34b10_tn,"精修重音版 新制日檢！絕對合格N1,N2,N3,N4,N5必背單字大全",460,460,https://shopee.tw//精修重音版-新制日檢！絕對合格N1-N2-N3-N4-N5必背單字大全-i.163145167.2546350635
https://cf.shopee.tw/file/ec45e20c9039c307e46e38818449b439_tn,"<書本熊>精修版 新制日檢！絕對合格 N1,N2必背單字大全（25K＋MP3）9789862464670",332,332,https://shopee.tw//-書本熊-精修版-新制日檢！絕對合格-N1-N2必背單字大全（25K＋MP3）9789862464670-i.25236816.457257230
https://cf.shopee.tw/file/1d37b1ab252a9222046d24057311ddbd_tn,袖珍本精修重音版新制對應絕對合格！日檢必背單字N2（50K＋DVD）[79折]11100901388,253,253,https://shopee.tw//袖珍本精修重音版新制對應絕對合格！日檢必背單字N2（50K＋DVD）-79折-11100901388-i.159834670.5122481553
https://cf.shopee.tw/file/475511ec23ef20f13c6bca468bbba880_tn,新日檢考試有祕密：全方位N2單字+全真模擬試題[二手書_良好]8255,294,294,https://shopee.tw//新日檢考試有祕密：全方位N2單字-全真模擬試題-二手書_良好-8255-i.159834670.4452767799
https://cf.shopee.tw/file/9e2b327fcffa211e7fbf1da8c5c3d72f_tn,袖珍本　精修重音版新制對應絕對合格！日檢必背單字N2（50K＋DVD）(高雄明儀書店),240,240,https://shopee.tw//袖珍本-精修重音版新制對應絕對合格！日檢必背單字N2（50K＋DVD）(高雄明儀書店)-i.171448792.5231768260
https://cf.shopee.tw/file/1e344bac6919330ef6cdc5ea2f016cc1_tn,袖珍本 精修重音版 新制對應 絕對合格！日檢必背單字N2（50K＋DVD）,240,240,https://shopee.tw//袖珍本-精修重音版-新制對應-絕對合格！日檢必背單字N2（50K＋DVD）-i.20570968.3317497109
https://cf.shopee.tw/file/5ce8c52862884c8d89059ed22584bd31_tn,<建宏>新制日檢！絕對合格N2單字、文法、閱讀、聽力全真模考三回＋詳解/山田社/9789862465202,312,312,https://shopee.tw//-建宏-新制日檢！絕對合格N2單字、文法、閱讀、聽力全真模考三回＋詳解-山田社-9789862465202-i.39144451.2177095418
https://cf.shopee.tw/file/f41da61ee5ebec15a76b3a61370270b8_tn,"新日檢JLPT N2關鍵單字2,500：主考官的單字庫完全收錄，新日檢N2快速過關！（附主考官會考的單字隨身冊＋1CD)",299,299,https://shopee.tw//新日檢JLPT-N2關鍵單字2-500：主考官的單字庫完全收錄，新日檢N2快速過關！（附主考官會考的單字隨身冊＋1CD)-i.1906015.2097234663
https://cf.shopee.tw/file/5b9a7d00bc833eb87ca51bb9dd1cb73b_tn,日檢單字+文法一本搞定N2 (附MP3),240,240,https://shopee.tw//日檢單字-文法一本搞定N2-(附MP3)-i.13135834.1600429764
https://cf.shopee.tw/file/ae64685e81b274edb884d14d2f56ce64_tn,"精修重音版 新制日檢！絕對合格N1,N2,N3,N4,N5必背單字大全（25K+MP3）",467,467,https://shopee.tw//精修重音版-新制日檢！絕對合格N1-N2-N3-N4-N5必背單字大全（25K-MP3）-i.83024609.2160522583
