商品,價格1,價格2,網址,圖片
日檢單字-文法一本搞定N2,220,220,https://shopee.tw//日檢單字-文法一本搞定N2-i.43157388.2894821844,https://cf.shopee.tw/file/d50d8b91de366928c94bfed9fef37ac3_tn
日檢N2套書：精修版-新制對應-絕對合格！日檢必背-單字-文法-閱讀-聽力-N2熱銷套書（25K＋MP3）,220,916,https://shopee.tw//日檢N2套書：精修版-新制對應-絕對合格！日檢必背-單字-文法-閱讀-聽力-N2熱銷套書（25K＋MP3）-i.163145167.6500909623,https://cf.shopee.tw/file/6f81063eeb16a22ebd158795dc6e6af8_tn
(山田社)袖珍本-精修重音版-新制對應-絕對合格！日檢必背單字N2（50K＋DVD）,230,230,https://shopee.tw//(山田社)袖珍本-精修重音版-新制對應-絕對合格！日檢必背單字N2（50K＋DVD）-i.163145167.7934816794,https://cf.shopee.tw/file/420360c5c556d39383bdedf4aa8c6476_tn
日檢N2套書：精修版-新制對應-絕對合格！日檢必背-單字-文法-閱讀-聽力-N2熱銷套書（25K＋MP3） ,230,916,https://shopee.tw//日檢N2套書：精修版-新制對應-絕對合格！日檢必背-單字-文法-閱讀-聽力-N2熱銷套書（25K＋MP3）-i.163113630.2790414672,https://cf.shopee.tw/file/366e06af34b26af6dcfe700226b13a91_tn
新日檢考試有祕密：全方位N2單字-全真模擬試題-二手書_良好-0299,234,234,https://shopee.tw//新日檢考試有祕密：全方位N2單字-全真模擬試題-二手書_良好-0299-i.159834670.4952770978,https://cf.shopee.tw/file/475511ec23ef20f13c6bca468bbba880_tn
9789862462324﹝山田社-﹞袖珍本精修版新制對應絕對合格！日檢必背單字N2（50K-DVD）,236,236,https://shopee.tw//9789862462324﹝山田社-﹞袖珍本精修版新制對應絕對合格！日檢必背單字N2（50K-DVD）-i.59926168.1683593164,https://cf.shopee.tw/file/7a93a871fd8bd1f50168c1f105e7f174_tn
書呆子袖珍本-精修重音版新制對應絕對合格！日檢必背單字N2（50K＋DVD）,240,240,https://shopee.tw//書呆子袖珍本-精修重音版新制對應絕對合格！日檢必背單字N2（50K＋DVD）-i.104827966.6517413017,https://cf.shopee.tw/file/9e2b327fcffa211e7fbf1da8c5c3d72f_tn
【優質】袖珍本-精修重音版新制對應絕對合格！日檢必背單字N2（50K＋DVD）,240,240,https://shopee.tw//【優質】袖珍本-精修重音版新制對應絕對合格！日檢必背單字N2（50K＋DVD）-i.4947210.5717826382,https://cf.shopee.tw/file/9e2b327fcffa211e7fbf1da8c5c3d72f_tn
日檢單字-文法一本搞定N2(-MP3),240,240,https://shopee.tw//日檢單字-文法一本搞定N2(-MP3)-i.121090005.1963965146,https://cf.shopee.tw/file/eed4e588426791c4d473074b4bc21027_tn
袖珍本-精修重音版新制對應絕對合格！日檢必背單字N2（50K＋DVD）(高雄明儀書店),240,240,https://shopee.tw//袖珍本-精修重音版新制對應絕對合格！日檢必背單字N2（50K＋DVD）(高雄明儀書店)-i.171448792.5231768260,https://cf.shopee.tw/file/9e2b327fcffa211e7fbf1da8c5c3d72f_tn
日檢單字-文法一本搞定N2-(附MP3),240,240,https://shopee.tw//日檢單字-文法一本搞定N2-(附MP3)-i.13135834.1600429764,https://cf.shopee.tw/file/5b9a7d00bc833eb87ca51bb9dd1cb73b_tn
新制日檢!絕對合格N1-N2單字全真模考三回-詳解（25K）,258,258,https://shopee.tw//新制日檢!絕對合格N1-N2單字全真模考三回-詳解（25K）-i.133999892.2692894508,https://cf.shopee.tw/file/e01231c779d6d363d12b273d9d13b411_tn
絕對合格！新制日檢-必勝N2情境分類單字-(25K-MP3),258,258,https://shopee.tw//絕對合格！新制日檢-必勝N2情境分類單字-(25K-MP3)-i.133999892.2666955771,https://cf.shopee.tw/file/3b8584064ad60ac73e2bd98b6df1c962_tn
袖珍本精修版新制對應絕對合格！日檢必背單字N2（50K＋DVD）-88折-11100801414,263,263,https://shopee.tw//袖珍本精修版新制對應絕對合格！日檢必背單字N2（50K＋DVD）-88折-11100801414-i.159834670.5313138455,https://cf.shopee.tw/file/f9d4b86acd57545b8afddfc922c93614_tn
-書本熊二館-雅典-日檢單字-文法一本搞定N2(-MP3)：9789869608633,272,272,https://shopee.tw//-書本熊二館-雅典-日檢單字-文法一本搞定N2(-MP3)：9789869608633-i.155768384.6912170809,https://cf.shopee.tw/file/6295c247e66e620b5ca9ec752798e2f8_tn
【ttbooks】絕對合格！新制日檢-必勝N2情境分類單字（25K＋MP3）,277,277,https://shopee.tw//【ttbooks】絕對合格！新制日檢-必勝N2情境分類單字（25K＋MP3）-i.105074887.2456554240,https://cf.shopee.tw/file/80647b94b21e076aa45561a3e9046fb3_tn
新日檢JLPT-N2關鍵單字2-500(附1主考官一定會考的單字隨身冊-1CD-虛擬點讀筆APP),280,280,https://shopee.tw//新日檢JLPT-N2關鍵單字2-500(附1主考官一定會考的單字隨身冊-1CD-虛擬點讀筆APP)-i.17676261.2071676263,https://cf.shopee.tw/file/a46ac4b805d59be5551b31be6210bc6d_tn
-書本熊二館-布可屋-合格快手新日檢必考單字速成N1-N2-N3-N4-N5（附MP3）：9789579579995,283,283,https://shopee.tw//-書本熊二館-布可屋-合格快手新日檢必考單字速成N1-N2-N3-N4-N5（附MP3）：9789579579995-i.155768384.3441137586,https://cf.shopee.tw/file/a8e673f9dd679cec7ed3f651f8c7d731_tn
新制日檢！絕對合格-N2單字、文法、閱讀、聽力全真模考三回＋詳解（16Ｋ-MP3）,287,287,https://shopee.tw//新制日檢！絕對合格-N2單字、文法、閱讀、聽力全真模考三回＋詳解（16Ｋ-MP3）-i.163113630.2608640231,https://cf.shopee.tw/file/496c83f1bd8ea19bce71ba2b21c44a0b_tn
《山田社》袖珍本精修重音版新制對應絕對合格！日檢必背單字N2-9折-,288,288,https://shopee.tw//《山田社》袖珍本精修重音版新制對應絕對合格！日檢必背單字N2-9折--i.42458033.6017571431,https://cf.shopee.tw/file/eefbd50d5ee2f140816077d21ec0ca08_tn
10000單字，搞定新日檢：N1、N2、N3、N4、N5必考單字，高分合格-二手書_良好-1440,289,289,https://shopee.tw//10000單字，搞定新日檢：N1、N2、N3、N4、N5必考單字，高分合格-二手書_良好-1440-i.159834670.5740836776,https://cf.shopee.tw/file/2c50ee4db21088bc8f3d7d6ca4a28b41_tn
-讀好書-新制日檢！絕對合格N1-N2單字全真模考三回＋詳解201808月-山田社-9789862465073,289,289,https://shopee.tw//-讀好書-新制日檢！絕對合格N1-N2單字全真模考三回＋詳解201808月-山田社-9789862465073-i.23603259.1473554709,https://cf.shopee.tw/file/776965b2ad81fab4476383f640116dc1_tn
-書本熊2館-山田社-新制日檢!絕對合格N1-N2單字全真模考三回-詳解（25K）：9789862465073,291,291,https://shopee.tw//-書本熊2館-山田社-新制日檢!絕對合格N1-N2單字全真模考三回-詳解（25K）：9789862465073-i.155768384.6510541078,https://cf.shopee.tw/file/781568efd5816742c3876f5e7e211350_tn
-書本熊2館-山田社-絕對合格！新制日檢-必勝N2情境分類單字-(25K-MP3)：9789862465530,291,291,https://shopee.tw//-書本熊2館-山田社-絕對合格！新制日檢-必勝N2情境分類單字-(25K-MP3)：9789862465530-i.155768384.6410541056,https://cf.shopee.tw/file/e83a3bc2765a1296e90a336cce656336_tn
新日檢考試有祕密：全方位N2單字-全真模擬試題(附1MP3),296,296,https://shopee.tw//新日檢考試有祕密：全方位N2單字-全真模擬試題(附1MP3)-i.17676261.595243442,https://cf.shopee.tw/file/5f12d6e706d19d8f44b4d567794c38c4_tn
新日檢JLPT-N2關鍵單字2500,299,299,https://shopee.tw//新日檢JLPT-N2關鍵單字2500-i.20570968.2357770484,https://cf.shopee.tw/file/6a452c1a82d7138c1a0b883e20c865d3_tn
新日檢JLPT-N2關鍵單字2-500：主考官的單字庫完全收錄，新日檢N2快速過關！（附主考官會考的單字隨身冊＋1CD),299,299,https://shopee.tw//新日檢JLPT-N2關鍵單字2-500：主考官的單字庫完全收錄，新日檢N2快速過關！（附主考官會考的單字隨身冊＋1CD)-i.1906015.2097234663,https://cf.shopee.tw/file/f41da61ee5ebec15a76b3a61370270b8_tn
