商品,價格,網址
新日檢必考單字速成 N1 N2 N3 N4 N5,$244,https://shopee.tw//新日檢必考單字速成-N1-N2-N3-N4-N5-i.6385563.5442380344
日檢N2絕對合格單字書/日檢必背單字,$150,https://shopee.tw//日檢N2絕對合格單字書-日檢必背單字-i.5421379.5147952453
"(山田社)精修版 新制日檢！絕對合格 N1,N2,N3,N4,N5必背單字大全（25Ｋ＋MP3）",$431,https://shopee.tw//(山田社)精修版-新制日檢！絕對合格-N1-N2-N3-N4-N5必背單字大全（25Ｋ＋MP3）-i.163145167.7036313653
帶著日語去旅行+CD（口袋書）/新日檢N2單字王（口袋書）/新日檢N1單字王（口袋書）,$95,https://shopee.tw//帶著日語去旅行-CD（口袋書）-新日檢N2單字王（口袋書）-新日檢N1單字王（口袋書）-i.18858388.4926053522
精修版 新制對應 絕對合格！日檢必背單字N2_附2MP3_山田社日檢題庫小組【書寶二手書T1／語言學習_AOF】,$219,https://shopee.tw//精修版-新制對應-絕對合格！日檢必背單字N2_附2MP3_山田社日檢題庫小組【書寶二手書T1／語言學習_AOF】-i.17022243.4852414505
N2 絕對合格 日檢必背單字 （全新含CD）,$199,https://shopee.tw//N2-絕對合格-日檢必背單字-（全新含CD）-i.19435293.4810535963
日檢單字絕對合格N5.N4.N3.N2.N1 一擊必殺,$180,https://shopee.tw//日檢單字絕對合格N5.N4.N3.N2.N1-一擊必殺-i.3793795.4652107339
絕對合格日檢單字N2(二手書）附mp3光碟,$160,https://shopee.tw//絕對合格日檢單字N2(二手書）附mp3光碟-i.34196782.4602599792
史上最強日檢N2文法+單字精選模擬試題,$172,https://shopee.tw//史上最強日檢N2文法-單字精選模擬試題-i.121090005.4517229517
日檢單字＋文法一本搞定N2（＋MP3）,$224,https://shopee.tw//日檢單字＋文法一本搞定N2（＋MP3）-i.121090005.4507265016
新日檢絕對合格 N1 N2 N3 N4 N5 單字大全(內附MP3光碟),$360,https://shopee.tw//新日檢絕對合格-N1-N2-N3-N4-N5-單字大全(內附MP3光碟)-i.57453178.4441703264
愛物。惜物。新日檢絕對合格 N1、N2、N3、N4、N5單字大全（修訂版） 吉松由美  山田社 原價399,$229,https://shopee.tw//愛物。惜物。新日檢絕對合格-N1、N2、N3、N4、N5單字大全（修訂版）-吉松由美-山田社-原價399-i.10332573.4116538515
【全新】高分．暢銷！10000單字，搞定新日檢：N1．N2．N3．N4．N5必考單字（最新版）（附MP3）,$287,https://shopee.tw//【全新】高分．暢銷！10000單字，搞定新日檢：N1．N2．N3．N4．N5必考單字（最新版）（附MP3）-i.171520113.4105344346
新制對應 絕對合格日檢單字N2/JLPT日文檢定書,$175,https://shopee.tw//新制對應-絕對合格日檢單字N2-JLPT日文檢定書-i.7593119.4017076459
(布可屋)合格快手！新日檢必考單字速成N1 N2 N3 N4 N5(附MP3),$297,https://shopee.tw//(布可屋)合格快手！新日檢必考單字速成N1-N2-N3-N4-N5(附MP3)-i.68770059.3842361418
?S&E?日檢N2單字大全《搶分進考場》NE0003-1 印刷凸顯 紅藍遮色片替換 單字學習法，彩色印刷凸顯重點,$234,https://shopee.tw//?S-E?日檢N2單字大全《搶分進考場》NE0003-1-印刷凸顯-紅藍遮色片替換-單字學習法，彩色印刷凸顯重點-i.7386720.3810869236
"新制日檢！絕對合格N1, N2, N3, N4, N5必背單字大全　誠品eslite",$576,https://shopee.tw//新制日檢！絕對合格N1-N2-N3-N4-N5必背單字大全-誠品eslite-i.211208801.6135253460
【山田社】袖珍本 精修重音版 新制對應 絕對合格！日檢必背單字N2（50K＋DVD）,$240,https://shopee.tw//【山田社】袖珍本-精修重音版-新制對應-絕對合格！日檢必背單字N2（50K＋DVD）-i.163113630.5922573039
新制對應 絕對合格！日檢單字N2,,
